CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;521616011;CONDIMENTOS ORGANICOS BA SAZON ITALIANO;BADIA;H003;Hipermercado Metro Limatambo;METRO;18;4;METRO LIMATAMBO
CENCOSUD.xlsx;521616011;CONDIMENTOS ORGANICOS BA SAZON ITALIANO;BADIA;H005;Hipermercado Metro San Miguel;METRO;8;1;METRO SAN MIGUEL
CENCOSUD.xlsx;946346;SALSA PIC. HABANERO X 155 ML BADIA;BADIA;T121;Wong Tom s Marsano;WONG;4;20;Wong Tomas Marsano
CENCOSUD.xlsx;566282;CHOC LECHE AVELL ENTER 100G RITTE SPORT;RITTER SPORT;T107;Wong San Borja;WONG;13;7;WONG SAN BORJA
CENCOSUD.xlsx;35175;NUEZ MOSCADA ENTERA X 5 OZ. BADIA.;BADIA;S049;Supermercado Metro Plaza la Lu;METRO;4;30;METRO PLAZA LA LU
CENCOSUD.xlsx;946346;SALSA PIC. HABANERO X 155 ML BADIA;BADIA;T130;Wong Sol de La Molina;WONG;1;19;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;37782;AJO PICADO EN ACEITE X 8.5 OZ BADIA;BADIA;T116;Wong Asia;WONG;11;16;WONG ASIA
CENCOSUD.xlsx;422772005;MERMELADA X 340G STRAWBERRY & CHAMPAGNE;MACKAYS;T109;Wong San Miguel;WONG;12;5;WONG SAN MIGUEL
CENCOSUD.xlsx;1016605;VINAGRE BALS MICO DEMODENA COLAVITA250ML;COLAVITA;T107;Wong San Borja;WONG;2;7;WONG SAN BORJA
CENCOSUD.xlsx;1013263;CHIPOTLE MOLIDO 2.5OZ BADIA;BADIA;T102;Wong Ovalo Gutierrez;WONG;6;14;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;35240;NUEZ MOSCADA MOLIDA X 2 ONZ BADIA;BADIA;S005;Supermercado Metro Pershing;METRO;14;18;METRO PERSHING
CENCOSUD.xlsx;35248;ESTRAGON X 0.5 ONZ  BADIA;BADIA;T103;Wong Aurora;WONG;13;17;WONG AURORA
CENCOSUD.xlsx;4920;PAPRIKA 2. OZ. BADIA;BADIA;T114;Wong La Planicie;WONG;26;17;WONG LA PLANICIE
CENCOSUD.xlsx;37784;SAZONADOR AJO Y PEREJIL X141.7 GR BADIA;BADIA;S028;Supermercado Metro Proceres;METRO;3;7;METRO PROCERES
CENCOSUD.xlsx;35246;CHILI EN POLVO X 2.75 ONZ BADIA;BADIA;T106;Wong Chacarilla;WONG;4;18;WONG CHACARILLA
CENCOSUD.xlsx;36717;JENGIBRE EN POLVO X 1.5 ONZ BADIA;BADIA;T111;Wong Camacho;WONG;41;20;WONG CAMACHO
CENCOSUD.xlsx;566278;CHOC. TAB. AMARG C/AVE 100G RITTER SPORT;RITTER SPORT;T130;Wong Sol de La Molina;WONG;4;8;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;35225;ROMERO X 0.5 ONZ  BADIA;BADIA;T101;Wong Dos de Mayo;WONG;70;104;WONG DOS DE MAYO
CENCOSUD.xlsx;1015450;FIDEO SEMOLA PENNE RIGATE 500G COLAVITA;COLAVITA;T101;Wong Dos de Mayo;WONG;7;3;WONG DOS DE MAYO
CENCOSUD.xlsx;35240;NUEZ MOSCADA MOLIDA X 2 ONZ BADIA;BADIA;T117;Wong California;WONG;10;11;WONG CALIFORNIA
CENCOSUD.xlsx;1051956;ACEITE OLIVA EXTRA VIRGEN COLAVITA 250ML;COLAVITA;T115;Wong Aldava;WONG;12;0;WONG ALDAVA
CENCOSUD.xlsx;127511001;SAZONADOR BADIA X 12 OZ SAZON COMPLETA;BADIA;W101;Hipermercado Wong Ate;WONG;7;57;WONG ATE
CENCOSUD.xlsx;521616007;CONDIMENTOS ORGANICOS BADIA FCO MOSTAZA;BADIA;T101;Wong Dos de Mayo;WONG;7;9;WONG DOS DE MAYO
CENCOSUD.xlsx;521616009;CONDIMENTOS ORGANICOS BADIA FCO  TOMILL;BADIA;T120;Wong Bajada Balta;WONG;5;15;WONG BAJADA BALTA
CENCOSUD.xlsx;127511001;SAZONADOR BADIA X 12 OZ SAZON COMPLETA;BADIA;S043;Supermercado Metro Santa Elena;METRO;12;18;METRO SANTA ELENA
CENCOSUD.xlsx;35169;HOJA DE LAUREL X 0.20 ONZ  BADIA;BADIA;T104;Wong Benavides;WONG;5;-1;WONG BENAVIDES
CENCOSUD.xlsx;990801;CANELA EN RAMA BADIA X8OZ;BADIA;T108;Wong La Molina;WONG;9;4;WONG LA MOLINA
CENCOSUD.xlsx;521616004;CONDIMENTOS ORGANICOS BADIA FCO C RCUMA;BADIA;S003;Supermercado Metro Arambur ;METRO;13;2;Supermercado Metro Aramburu
CENCOSUD.xlsx;35224;PIMIENTA NEGRA ENTERA X 0.5 ONZ BADIA;BADIA;S001;Supermercado Metro La Molina;METRO;2;26;METRO LA MOLINA
CENCOSUD.xlsx;1016322;SALSA DE TOMATE PASSATA COLAVITA 680G;COLAVITA;T114;Wong La Planicie;WONG;48;0;WONG LA PLANICIE
CENCOSUD.xlsx;990801;CANELA EN RAMA BADIA X8OZ;BADIA;T130;Wong Sol de La Molina;WONG;4;4;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;35171;CANELA EN RAMA X 0.5 ONZ BADIA;BADIA;H016;Hipermercado Metro Ovalo Papal;METRO;23;61;METRO OVALO PAPAL
CENCOSUD.xlsx;521616003;CONDIMENTOS ORGANICOS BA OREGANO ENTERO;BADIA;T107;Wong San Borja;WONG;15;3;WONG SAN BORJA
